original_text,constant
Bandcamp,brand
Deezer,brand
Facebook,brand
iTunes,brand
SoundCloud,brand
Spotify,brand
Tidal,brand
TikTok,brand
YouTube,brand
ALL,currency_code
AMD,currency_code
BAM,currency_code
BGL,currency_code
DKK,currency_code
EUR,currency_code
EUR,currency_code
GBL,currency_code
GEL,currency_code
HRK,currency_code
HUF,currency_code
NOK,currency_code
RON,currency_code
RSD,currency_code
SEK,currency_code
UAH,currency_code
USD,currency_code
Friuli-Venezia Giulia (ITH4),region_name
1923,numeric_constant
1924,numeric_constant
1925,numeric_constant
1926,numeric_constant
1927,numeric_constant
1928,numeric_constant
1929,numeric_constant
1930,numeric_constant
1931,numeric_constant
1932,numeric_constant
1933,numeric_constant
1934,numeric_constant
1935,numeric_constant
1936,numeric_constant
1937,numeric_constant
1938,numeric_constant
1939,numeric_constant
1940,numeric_constant
1941,numeric_constant
1942,numeric_constant
1943,numeric_constant
1944,numeric_constant
1945,numeric_constant
1946,numeric_constant
1947,numeric_constant
1948,numeric_constant
1949,numeric_constant
1950,numeric_constant
1951,numeric_constant
1952,numeric_constant
1953,numeric_constant
1954,numeric_constant
1955,numeric_constant
1956,numeric_constant
1957,numeric_constant
1958,numeric_constant
1959,numeric_constant
1960,numeric_constant
1961,numeric_constant
1962,numeric_constant
1963,numeric_constant
1964,numeric_constant
1965,numeric_constant
1966,numeric_constant
1967,numeric_constant
1968,numeric_constant
1969,numeric_constant
1970,numeric_constant
1971,numeric_constant
1972,numeric_constant
1973,numeric_constant
1974,numeric_constant
1975,numeric_constant
1976,numeric_constant
1977,numeric_constant
1978,numeric_constant
1979,numeric_constant
1980,numeric_constant
1981,numeric_constant
1982,numeric_constant
1983,numeric_constant
1984,numeric_constant
1985,numeric_constant
1986,numeric_constant
1987,numeric_constant
1988,numeric_constant
1989,numeric_constant
1990,numeric_constant
1991,numeric_constant
1992,numeric_constant
1993,numeric_constant
1994,numeric_constant
1995,numeric_constant
1996,numeric_constant
1997,numeric_constant
1998,numeric_constant
1999,numeric_constant
2000,numeric_constant
2001,numeric_constant
2002,numeric_constant
2003,numeric_constant
2004,numeric_constant
2005,numeric_constant
2006,numeric_constant
2007,numeric_constant
2008,numeric_constant
2009,numeric_constant
2010,numeric_constant
2011,numeric_constant
2012,numeric_constant
2013,numeric_constant
2014,numeric_constant
2015,numeric_constant
2016,numeric_constant
2017,numeric_constant
2018,numeric_constant
2019,numeric_constant
2020,numeric_constant
2021,numeric_constant
2022,numeric_constant
2023,numeric_constant
2024,numeric_constant
2025,numeric_constant
0%,numeric_constant
1%,numeric_constant
10%,numeric_constant
100%,numeric_constant
11%,numeric_constant
12%,numeric_constant
13%,numeric_constant
14%,numeric_constant
15%,numeric_constant
16%,numeric_constant
17%,numeric_constant
18%,numeric_constant
19%,numeric_constant
2%,numeric_constant
20%,numeric_constant
21%,numeric_constant
22%,numeric_constant
23%,numeric_constant
24%,numeric_constant
25%,numeric_constant
26%,numeric_constant
27%,numeric_constant
28%,numeric_constant
29%,numeric_constant
3%,numeric_constant
30%,numeric_constant
31%,numeric_constant
32%,numeric_constant
33%,numeric_constant
34%,numeric_constant
35%,numeric_constant
36%,numeric_constant
37%,numeric_constant
38%,numeric_constant
39%,numeric_constant
4%,numeric_constant
40%,numeric_constant
41%,numeric_constant
42%,numeric_constant
43%,numeric_constant
44%,numeric_constant
45%,numeric_constant
46%,numeric_constant
47%,numeric_constant
48%,numeric_constant
49%,numeric_constant
5%,numeric_constant
50%,numeric_constant
51%,numeric_constant
52%,numeric_constant
53%,numeric_constant
54%,numeric_constant
55%,numeric_constant
56%,numeric_constant
57%,numeric_constant
58%,numeric_constant
59%,numeric_constant
6%,numeric_constant
60%,numeric_constant
61%,numeric_constant
62%,numeric_constant
63%,numeric_constant
